school_name,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
University of Tennessee,"$41,900.00 ","$53,200.00 ","$106,000.00 ","$153,000.00 "
Ohio University,"$36,600.00 ","$52,800.00 ","$106,000.00 ","$150,000.00 "
Florida State University (FSU),"$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 "
Bucknell University,"$62,800.00 ","$80,600.00 ","$156,000.00 ","$251,000.00 "
Colgate University,"$60,000.00 ","$76,700.00 ","$167,000.00 ","$265,000.00 "
Amherst College,N/A,"$84,900.00 ","$162,000.00 ",N/A
Lafayette College,"$70,600.00 ","$79,300.00 ","$144,000.00 ","$204,000.00 "
Bowdoin College,N/A,"$74,600.00 ","$146,000.00 ",N/A
College of the Holy Cross,N/A,"$65,600.00 ","$143,000.00 ",N/A
Occidental College,N/A,"$54,800.00 ","$157,000.00 ",N/A
Washington and Lee University,N/A,"$82,800.00 ","$146,000.00 ",N/A
Swarthmore College,N/A,"$67,200.00 ","$167,000.00 ",N/A
Davidson College,N/A,"$70,500.00 ","$146,000.00 ",N/A
Carleton College,N/A,"$69,400.00 ","$141,000.00 ",N/A
Williams College,N/A,"$76,400.00 ","$143,000.00 ",N/A
Pomona College,N/A,"$63,300.00 ","$161,000.00 ",N/A
"Wesleyan University (Middletown, Connecticut)","$42,000.00 ","$62,500.00 ","$126,000.00 ","$215,000.00 "
Bates College,N/A,"$60,700.00 ","$162,000.00 ",N/A
Union College,"$48,700.00 ","$75,200.00 ","$135,000.00 ","$230,000.00 "
University of Richmond,"$44,500.00 ","$59,400.00 ","$151,000.00 ","$211,000.00 "
Vassar College,N/A,"$60,600.00 ","$123,000.00 ",N/A
Middlebury College,N/A,"$69,100.00 ","$129,000.00 ",N/A
Mount Holyoke College,N/A,"$57,100.00 ","$131,000.00 ",N/A
Franklin and Marshall College,N/A,"$55,800.00 ","$185,000.00 ",N/A
DePauw University,"$49,500.00 ","$57,400.00 ","$133,000.00 ","$185,000.00 "
St. Olaf College,"$41,300.00 ","$61,000.00 ","$120,000.00 ","$185,000.00 "
Colby College,N/A,"$63,500.00 ","$129,000.00 ",N/A
Gettysburg College,N/A,"$66,300.00 ","$132,000.00 ",N/A
Siena College,"$38,700.00 ","$58,400.00 ","$129,000.00 ","$189,000.00 "
Smith College,"$45,100.00 ","$59,800.00 ","$129,000.00 ","$184,000.00 "
Hamilton College,N/A,"$51,900.00 ","$123,000.00 ",N/A
Randolph-Macon College,N/A,"$54,100.00 ","$123,000.00 ",N/A
Wellesley College,N/A,"$58,600.00 ","$125,000.00 ",N/A
Denison University,N/A,"$62,100.00 ","$122,000.00 ",N/A
Oberlin College,N/A,"$46,400.00 ","$128,000.00 ",N/A
University of Puget Sound,"$48,900.00 ","$60,100.00 ","$104,000.00 ","$137,000.00 "
Colorado College (CC),N/A,"$43,000.00 ","$148,000.00 ",N/A
Reed College,N/A,"$67,400.00 ","$101,000.00 ",N/A
Gustavus Adolphus College,N/A,"$49,300.00 ","$101,000.00 ",N/A
Whitman College,N/A,"$64,800.00 ","$111,000.00 ",N/A
Ursinus College,"$35,600.00 ","$54,300.00 ","$100,000.00 ","$160,000.00 "
Juniata College,N/A,"$67,200.00 ","$110,000.00 ",N/A
Wittenberg University,N/A,"$54,100.00 ","$131,000.00 ",N/A
Grinnell College,N/A,"$65,100.00 ","$116,000.00 ",N/A
Skidmore College,N/A,"$42,800.00 ","$147,000.00 ",N/A
Moravian College,N/A,"$56,700.00 ","$94,900.00 ",N/A
Lewis & Clark College,"$38,200.00 ","$53,400.00 ","$104,000.00 ","$140,000.00 "
Fort Lewis College,N/A,"$55,000.00 ","$94,000.00 ",N/A
Thomas Aquinas College,N/A,"$44,600.00 ","$93,100.00 ",N/A
Evergreen State College,"$38,800.00 ","$47,200.00 ","$91,600.00 ","$120,000.00 "
Dartmouth College,"$63,100.00 ","$90,200.00 ","$234,000.00 ","$321,000.00 "
Princeton University,"$68,900.00 ","$100,000.00 ","$190,000.00 ","$261,000.00 "
Yale University,"$58,000.00 ","$80,600.00 ","$198,000.00 ","$326,000.00 "
Harvard University,"$54,800.00 ","$86,200.00 ","$179,000.00 ","$288,000.00 "
University of Pennsylvania,"$55,900.00 ","$79,200.00 ","$192,000.00 ","$282,000.00 "
Cornell University,"$56,800.00 ","$79,800.00 ","$160,000.00 ","$210,000.00 "
Brown University,"$55,400.00 ","$74,400.00 ","$159,000.00 ","$228,000.00 "
Columbia University,"$50,300.00 ","$71,900.00 ","$161,000.00 ","$241,000.00 "
"University of California, Berkeley","$59,500.00 ","$81,000.00 ","$149,000.00 ","$201,000.00 "
University of Virginia (UVA),"$52,200.00 ","$71,800.00 ","$146,000.00 ","$215,000.00 "
Cal Poly San Luis Obispo,"$55,000.00 ","$74,700.00 ","$133,000.00 ","$178,000.00 "
University of California at Los Angeles (UCLA),"$51,300.00 ","$72,500.00 ","$139,000.00 ","$193,000.00 "
"University of California, San Diego (UCSD)","$51,700.00 ","$75,400.00 ","$131,000.00 ","$177,000.00 "
"University of California, Davis","$52,000.00 ","$71,600.00 ","$135,000.00 ","$202,000.00 "
University of Colorado - Boulder (UCB),"$51,600.00 ","$69,000.00 ","$128,000.00 ","$187,000.00 "
"University of California, Irvine (UCI)","$47,800.00 ","$66,000.00 ","$123,000.00 ","$172,000.00 "
University of Illinois at Urbana-Champaign (UIUC),"$48,200.00 ","$68,900.00 ","$132,000.00 ","$177,000.00 "
Texas A&M University,"$51,100.00 ","$71,300.00 ","$131,000.00 ","$171,000.00 "
Binghamton University,"$50,900.00 ","$71,200.00 ","$146,000.00 ","$201,000.00 "
University of Missouri - Rolla (UMR),"$67,600.00 ","$80,400.00 ","$122,000.00 ","$166,000.00 "
San Jose State University (SJSU),"$50,700.00 ","$70,500.00 ","$122,000.00 ","$156,000.00 "
"University of Maryland, College Park","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 "
"University of California, Santa Barbara (UCSB)","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 "
University of Texas (UT) - Austin,"$50,100.00 ","$67,400.00 ","$129,000.00 ","$188,000.00 "
University of Michigan,"$50,900.00 ","$69,400.00 ","$128,000.00 ","$182,000.00 "
Stony Brook University,"$47,200.00 ","$67,100.00 ","$129,000.00 ","$181,000.00 "
State University of New York (SUNY) at Albany,"$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 "
Rutgers University,"$48,100.00 ","$65,100.00 ","$128,000.00 ","$176,000.00 "
Purdue University,"$49,900.00 ","$67,400.00 ","$121,000.00 ","$168,000.00 "
University of Connecticut (UConn),"$46,100.00 ","$66,400.00 ","$120,000.00 ","$162,000.00 "
University of Massachusetts (UMass) - Amherst,"$43,100.00 ","$61,300.00 ","$122,000.00 ","$168,000.00 "
"California State University (CSU), Chico","$46,800.00 ","$62,800.00 ","$122,000.00 ","$154,000.00 "
University of Florida (UF),"$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 "
University of Wisconsin (UW) - Madison,"$47,400.00 ","$62,400.00 ","$118,000.00 ","$170,000.00 "
Louisiana State University (LSU),"$43,700.00 ","$61,300.00 ","$120,000.00 ","$165,000.00 "
"California State University, Fullerton (CSUF)","$45,400.00 ","$62,500.00 ","$119,000.00 ","$158,000.00 "
George Mason University,"$51,300.00 ","$67,200.00 ","$114,000.00 ","$150,000.00 "
University of Massachusetts (UMass) - Lowell,"$50,900.00 ","$65,000.00 ","$113,000.00 ","$158,000.00 "
San Francisco State University (SFSU),"$45,100.00 ","$62,700.00 ","$114,000.00 ","$150,000.00 "
University of Arizona,"$44,800.00 ","$61,700.00 ","$117,000.00 ","$160,000.00 "
Clemson University,"$50,500.00 ","$61,800.00 ","$111,000.00 ","$150,000.00 "
University of Georgia (UGA),"$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 "
Pennsylvania State University (PSU),"$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 "
University of Washington (UW),"$47,000.00 ","$59,800.00 ","$115,000.00 ","$149,000.00 "
Michigan State University (MSU),"$44,200.00 ","$61,500.00 ","$119,000.00 ","$170,000.00 "
University of Rhode Island (URI),"$45,400.00 ","$60,100.00 ","$112,000.00 ","$157,000.00 "
San Diego State University (SDSU),"$45,500.00 ","$61,800.00 ","$116,000.00 ","$158,000.00 "
Auburn University,"$45,400.00 ","$62,700.00 ","$109,000.00 ","$145,000.00 "
Washington State University (WSU),"$43,600.00 ","$59,000.00 ","$113,000.00 ","$162,000.00 "
"California State University, Long Beach (CSULB)","$47,400.00 ","$62,500.00 ","$113,000.00 ","$154,000.00 "
Iowa State University,"$44,400.00 ","$60,000.00 ","$109,000.00 ","$147,000.00 "
University of Delaware,"$44,500.00 ","$64,000.00 ","$119,000.00 ","$165,000.00 "
University of Colorado - Denver,"$46,400.00 ","$58,600.00 ","$105,000.00 ","$144,000.00 "
"California State University, East Bay (CSUEB)","$46,000.00 ","$62,400.00 ","$115,000.00 ","$155,000.00 "
State University of New York (SUNY) at Farmingdale,"$50,200.00 ","$59,800.00 ","$110,000.00 ","$162,000.00 "
University of Minnesota,"$49,000.00 ","$63,200.00 ","$112,000.00 ","$148,000.00 "
Arizona State University (ASU),"$44,600.00 ","$60,700.00 ","$114,000.00 ","$163,000.00 "
"University of California, Santa Cruz (UCSC)","$46,100.00 ","$62,000.00 ","$121,000.00 ","$165,000.00 "
"Indiana University (IU), Bloomington","$43,600.00 ","$60,400.00 ","$119,000.00 ","$178,000.00 "
University of Iowa (UI),"$43,300.00 ","$61,100.00 ","$116,000.00 ","$163,000.00 "
Ohio State University (OSU),"$45,500.00 ","$60,700.00 ","$116,000.00 ","$162,000.00 "
North Carolina State University (NCSU),"$49,200.00 ","$64,800.00 ","$112,000.00 ","$153,000.00 "
Oregon State University (OSU),"$46,900.00 ","$64,000.00 ","$113,000.00 ","$146,000.00 "
University of Utah,"$43,000.00 ","$58,400.00 ","$116,000.00 ","$148,000.00 "
"University of Nevada, Reno (UNR)","$41,900.00 ","$54,600.00 ","$113,000.00 ","$143,000.00 "
University of Oklahoma,"$41,200.00 ","$60,300.00 ","$114,000.00 ","$167,000.00 "
University of Arkansas,"$43,200.00 ","$60,700.00 ","$113,000.00 ","$160,000.00 "
University of Vermont (UVM),"$44,700.00 ","$58,000.00 ","$122,000.00 ","$194,000.00 "
University of Alabama at Huntsville (UAH),"$46,100.00 ","$67,800.00 ","$106,000.00 ","$132,000.00 "
"California State University, Sacramento (CSUS)","$42,900.00 ","$59,600.00 ","$111,000.00 ","$154,000.00 "
University of Idaho,"$43,000.00 ","$56,700.00 ","$104,000.00 ","$142,000.00 "
University of Illinois at Chicago,"$44,700.00 ","$58,800.00 ","$110,000.00 ","$146,000.00 "
State University of New York (SUNY) at Buffalo,"$45,900.00 ","$61,400.00 ","$110,000.00 ","$147,000.00 "
University of Kansas,"$44,800.00 ","$57,200.00 ","$115,000.00 ","$156,000.00 "
University of New Mexico (UNM),"$41,800.00 ","$59,100.00 ","$105,000.00 ","$141,000.00 "
University of North Carolina at Chapel Hill (UNCH),"$43,400.00 ","$57,500.00 ","$117,000.00 ","$155,000.00 "
"University of Alabama, Tuscaloosa","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 "
"University of California, Riverside (UCR)","$37,200.00 ","$59,900.00 ","$109,000.00 ","$134,000.00 "
State University of New York (SUNY) at Geneseo,"$39,300.00 ","$47,600.00 ","$117,000.00 ","$173,000.00 "
University of Missouri - Columbia,"$43,500.00 ","$57,100.00 ","$111,000.00 ","$156,000.00 "
University of Nebraska,"$42,200.00 ","$56,600.00 ","$113,000.00 ","$156,000.00 "
University of Texas at Arlington (UTA),"$46,400.00 ","$61,200.00 ","$106,000.00 ","$138,000.00 "
Northern Illinois University (NIU),"$43,900.00 ","$60,200.00 ","$111,000.00 ","$161,000.00 "
Oklahoma State University,"$40,100.00 ","$56,500.00 ","$114,000.00 ","$151,000.00 "
University of North Dakota,"$43,400.00 ","$56,400.00 ","$111,000.00 ","$157,000.00 "
"California State University, Northridge (CSUN)","$44,500.00 ","$57,800.00 ","$108,000.00 ","$153,000.00 "
University of Houston (UH),"$42,000.00 ","$56,200.00 ","$106,000.00 ","$141,000.00 "
University of Mississippi,"$40,400.00 ","$53,500.00 ","$108,000.00 ","$186,000.00 "
New Mexico State University,"$37,400.00 ","$53,800.00 ","$102,000.00 ","$131,000.00 "
Lamar University,"$38,700.00 ","$51,600.00 ","$114,000.00 ","$158,000.00 "
Mississippi State University (MSU),"$43,300.00 ","$58,800.00 ","$108,000.00 ","$151,000.00 "
Colorado State University (CSU),"$43,800.00 ","$57,100.00 ","$112,000.00 ","$150,000.00 "
Kansas State University (KSU),"$37,200.00 ","$54,100.00 ","$106,000.00 ","$138,000.00 "
University of Wyoming (UW),"$41,500.00 ","$54,000.00 ","$105,000.00 ","$145,000.00 "
Utah State University,"$41,600.00 ","$55,400.00 ","$101,000.00 ","$132,000.00 "
University of Wisconsin (UW) - Platteville,"$48,400.00 ","$61,200.00 ","$100,000.00 ","$139,000.00 "
University of Oregon,"$38,100.00 ","$56,200.00 ","$117,000.00 ","$186,000.00 "
University of Kentucky (UK),"$43,000.00 ","$57,300.00 ","$107,000.00 ","$149,000.00 "
University of New Hampshire (UNH),"$41,700.00 ","$56,400.00 ","$114,000.00 ","$147,000.00 "
University of Massachusetts (UMass) - Boston,"$36,300.00 ","$53,800.00 ","$109,000.00 ","$151,000.00 "
West Virginia University (WVU),"$39,700.00 ","$55,700.00 ","$106,000.00 ","$141,000.00 "
University of Maryland Baltimore County (UMBC),"$46,900.00 ","$59,100.00 ","$105,000.00 ","$130,000.00 "
North Dakota State University (NDSU),"$39,000.00 ","$55,800.00 ","$100,000.00 ","$123,000.00 "
State University of New York (SUNY) at Oswego,"$40,400.00 ","$53,000.00 ","$115,000.00 ","$169,000.00 "
University of Massachusetts (UMass) - Dartmouth,"$43,300.00 ","$56,200.00 ","$107,000.00 ","$132,000.00 "
Montana State University - Bozeman,"$40,200.00 ","$58,100.00 ","$111,000.00 ","$151,000.00 "
State University of New York (SUNY) at Oneonta,"$40,000.00 ","$54,300.00 ","$97,700.00 ","$155,000.00 "
University of Louisiana (UL) at Lafayette,"$42,000.00 ","$54,500.00 ","$107,000.00 ","$163,000.00 "
State University of New York (SUNY) at Plattsburgh,"$38,400.00 ","$54,100.00 ","$105,000.00 ","$136,000.00 "
Wayne State University,"$40,100.00 ","$56,200.00 ","$101,000.00 ","$139,000.00 "
University of Hawaii,"$40,400.00 ","$56,300.00 ","$104,000.00 ","$128,000.00 "
University of Toledo,"$40,100.00 ","$54,100.00 ","$100,000.00 ","$133,000.00 "
Florida International University (FIU),"$40,500.00 ","$55,800.00 ","$98,200.00 ","$136,000.00 "
University of Wisconsin (UW) - Whitewater,"$38,200.00 ","$53,500.00 ","$99,300.00 ","$150,000.00 "
Western Washington University,"$41,300.00 ","$56,700.00 ","$99,200.00 ","$119,000.00 "
Minnesota State University - Mankato,"$39,500.00 ","$53,800.00 ","$95,700.00 ","$140,000.00 "
University of Tennessee,"$41,900.00 ","$53,200.00 ","$106,000.00 ","$153,000.00 "
University of Wisconsin (UW) - Milwaukee,"$40,600.00 ","$54,000.00 ","$93,700.00 ","$123,000.00 "
University of Arkansas - Monticello (UAM),"$32,800.00 ","$46,100.00 ","$110,000.00 ","$161,000.00 "
Penn State - Harrisburg,"$44,000.00 ","$53,100.00 ","$104,000.00 ","$150,000.00 "
University of North Carolina at Charlotte (UNCC),"$38,200.00 ","$53,200.00 ","$99,500.00 ","$133,000.00 "
Georgia State University,"$43,000.00 ","$55,300.00 ","$99,900.00 ","$145,000.00 "
Western Michigan University (WMU),"$40,100.00 ","$52,500.00 ","$103,000.00 ","$135,000.00 "
South Dakota State University (SDSU),"$34,100.00 ","$49,900.00 ","$99,400.00 ","$129,000.00 "
Idaho State University,"$35,400.00 ","$49,600.00 ","$101,000.00 ","$143,000.00 "
Ohio University,"$36,600.00 ","$52,800.00 ","$106,000.00 ","$150,000.00 "
Illinois State University,"$39,100.00 ","$55,200.00 ","$105,000.00 ","$142,000.00 "
Cleveland State University,"$39,500.00 ","$51,600.00 ","$97,000.00 ","$137,000.00 "
Florida State University (FSU),"$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 "
"University of Alaska, Anchorage","$39,800.00 ","$56,600.00 ","$99,300.00 ","$137,000.00 "
Fitchburg State College,"$43,300.00 ","$56,100.00 ","$99,600.00 ","$151,000.00 "
University of Nebraska at Omaha,"$39,500.00 ","$54,400.00 ","$97,400.00 ","$126,000.00 "
Southern Illinois University Carbondale,"$38,300.00 ","$51,300.00 ","$99,300.00 ","$139,000.00 "
University of Texas at El Paso (UTEP),"$37,700.00 ","$50,400.00 ","$99,500.00 ","$133,000.00 "
"California State University, Dominguez Hills (CSUDH)","$30,800.00 ","$47,000.00 ","$92,200.00 ","$132,000.00 "
University Of Maine,"$41,700.00 ","$55,600.00 ","$99,300.00 ","$141,000.00 "
Eastern Michigan University,"$37,900.00 ","$52,800.00 ","$95,400.00 ","$135,000.00 "
Bowling Green State University,"$38,200.00 ","$51,800.00 ","$101,000.00 ","$146,000.00 "
University of Montana,"$37,000.00 ","$51,500.00 ","$96,400.00 ","$138,000.00 "
University of Central Florida (UCF),"$39,500.00 ","$51,500.00 ","$98,400.00 ","$125,000.00 "
University of South Carolina,"$36,300.00 ","$49,900.00 ","$98,400.00 ","$131,000.00 "
"University of Nevada, Las Vegas (UNLV)","$39,000.00 ","$52,400.00 ","$100,000.00 ","$128,000.00 "
St. Cloud State University,"$38,700.00 ","$49,400.00 ","$101,000.00 ","$126,000.00 "
University of Wisconsin (UW) - Parkside,"$40,900.00 ","$53,100.00 ","$84,900.00 ","$119,000.00 "
"California State University (CSU), Stanislaus","$33,700.00 ","$50,500.00 ","$94,100.00 ","$121,000.00 "
Humboldt State University,"$36,000.00 ","$56,300.00 ","$94,400.00 ","$117,000.00 "
Florida Atlantic University (FAU),"$40,700.00 ","$53,000.00 ","$99,500.00 ","$137,000.00 "
University of South Florida (USF),"$39,600.00 ","$51,500.00 ","$98,100.00 ","$131,000.00 "
Portland State University (PSU),"$40,700.00 ","$52,300.00 ","$94,400.00 ","$123,000.00 "
Eastern Washington University,"$36,000.00 ","$50,500.00 ","$93,100.00 ","$117,000.00 "
University of Texas at San Antonio (UTSA),"$39,100.00 ","$49,800.00 ","$92,700.00 ","$121,000.00 "
University of Akron,"$40,600.00 ","$53,300.00 ","$95,200.00 ","$127,000.00 "
State University of New York (SUNY) at Potsdam,"$35,100.00 ","$51,200.00 ","$100,000.00 ","$179,000.00 "
University of Alabama at Birmingham (UAB),"$43,000.00 ","$53,400.00 ","$91,400.00 ","$125,000.00 "
University of Memphis (U of M),"$36,100.00 ","$49,100.00 ","$93,500.00 ","$127,000.00 "
Boise State University (BSU),"$37,400.00 ","$48,700.00 ","$87,500.00 ","$110,000.00 "
Missouri State University (MSU),"$33,300.00 ","$46,900.00 ","$102,000.00 ","$134,000.00 "
University of Wisconsin (UW) - La Crosse,"$37,500.00 ","$47,200.00 ","$93,100.00 ","$133,000.00 "
Appalachian State University,"$37,200.00 ","$50,400.00 ","$90,800.00 ","$115,000.00 "
Virginia Commonwealth University (VCU),"$37,400.00 ","$51,900.00 ","$100,000.00 ","$123,000.00 "
University of Wisconsin (UW) - Stout,"$40,900.00 ","$50,600.00 ","$91,600.00 ","$136,000.00 "
East Carolina University (ECU),"$38,400.00 ","$52,000.00 ","$98,700.00 ","$151,000.00 "
Utah Valley State College,"$27,000.00 ","$44,100.00 ","$84,900.00 ","$110,000.00 "
University of Missouri - St. Louis (UMSL),"$36,800.00 ","$49,600.00 ","$97,600.00 ","$144,000.00 "
Western Carolina University,"$39,000.00 ","$49,500.00 ","$94,400.00 ","$133,000.00 "
University of Wisconsin (UW) - Oshkosh,"$37,700.00 ","$49,700.00 ","$90,100.00 ","$138,000.00 "
State University of New York (SUNY) at Fredonia,"$32,800.00 ","$44,200.00 ","$93,300.00 ","$181,000.00 "
University of Missouri - Kansas City (UMKC),"$36,300.00 ","$48,100.00 ","$95,800.00 ","$124,000.00 "
University of Wisconsin (UW) - Eau Claire,"$35,000.00 ","$47,300.00 ","$93,100.00 ","$125,000.00 "
Ball State University (BSU),"$35,500.00 ","$48,200.00 ","$89,300.00 ","$128,000.00 "
University of North Carolina at Wilmington (UNCW),"$32,100.00 ","$46,600.00 ","$97,100.00 ","$129,000.00 "
University of Wisconsin (UW) - Stevens Point,"$38,400.00 ","$45,100.00 ","$95,400.00 ","$128,000.00 "
University of Southern Maine,"$40,400.00 ","$47,900.00 ","$85,700.00 ","$117,000.00 "
Arkansas State University (ASU),"$33,600.00 ","$45,300.00 ","$83,900.00 ","$118,000.00 "
Kent State University,"$36,100.00 ","$45,800.00 ","$87,000.00 ","$124,000.00 "
Tarleton State University (TSU),"$32,100.00 ","$47,400.00 ","$80,400.00 ","$126,000.00 "
University of Wisconsin (UW) - Green Bay,"$35,500.00 ","$46,800.00 ","$81,800.00 ","$102,000.00 "
Morehead State University,"$34,300.00 ","$46,500.00 ","$72,000.00 ","$91,300.00 "
Austin Peay State University,"$32,200.00 ","$40,500.00 ","$73,900.00 ","$96,200.00 "
Pittsburg State University,"$25,600.00 ","$46,000.00 ","$84,600.00 ","$117,000.00 "
Southern Utah University,"$30,700.00 ","$39,700.00 ","$78,400.00 ","$116,000.00 "
Montana State University - Billings,"$22,600.00 ","$31,800.00 ","$78,500.00 ","$98,900.00 "
Black Hills State University,"$27,000.00 ","$32,200.00 ","$60,900.00 ","$87,600.00 "
